event_id,book,market,outcome_name,outcome_price,ts
1024777705,betrivers,h2h,,,2025-08-29 23:55:10.122715+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:10.129199+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:10.135555+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:10.144842+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:10.182166+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:10.197275+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:10.227213+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:10.235539+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:10.239597+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:10.276471+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:10.292446+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:10.301323+00
1023364183,betrivers,h2h,,,2025-08-29 23:55:10.333769+00
1023418354,betrivers,h2h,,,2025-08-29 23:55:10.338409+00
1024805317,betrivers,h2h,,,2025-08-29 23:55:10.36734+00
1024803221,betrivers,h2h,,,2025-08-29 23:55:10.399248+00
1024806304,betrivers,h2h,,,2025-08-29 23:55:10.408522+00
1024807560,betrivers,h2h,,,2025-08-29 23:55:10.44259+00
1024814618,betrivers,h2h,,,2025-08-29 23:55:10.454823+00
1024803188,betrivers,h2h,,,2025-08-29 23:55:10.472565+00
1022307564,betrivers,h2h,,,2025-08-29 23:55:10.479055+00
1024387796,betrivers,h2h,,,2025-08-29 23:55:10.488976+00
1022037257,betrivers,h2h,,,2025-08-29 23:55:10.539259+00
1022037245,betrivers,h2h,,,2025-08-29 23:55:10.575887+00
1022037256,betrivers,h2h,,,2025-08-29 23:55:10.58618+00
1022037241,betrivers,h2h,,,2025-08-29 23:55:10.594301+00
1022037244,betrivers,h2h,,,2025-08-29 23:55:10.613383+00
1022037238,betrivers,h2h,,,2025-08-29 23:55:10.640973+00
1022037250,betrivers,h2h,,,2025-08-29 23:55:10.651978+00
1024387439,betrivers,h2h,,,2025-08-29 23:55:10.673033+00
1024777705,betrivers,h2h,,,2025-08-29 23:55:11.326913+00
1024110487,betrivers,h2h,,,2025-08-29 23:55:11.331219+00
1024714782,betrivers,h2h,,,2025-08-29 23:55:11.334348+00
1022635843,betrivers,h2h,,,2025-08-29 23:55:11.337319+00
1022706890,betrivers,h2h,,,2025-08-29 23:55:11.342143+00
1024794512,betrivers,h2h,,,2025-08-29 23:55:11.345039+00
1024794857,betrivers,h2h,,,2025-08-29 23:55:11.348547+00
1024794008,betrivers,h2h,,,2025-08-29 23:55:11.351963+00
1024796224,betrivers,h2h,,,2025-08-29 23:55:11.355219+00
1024802819,betrivers,h2h,,,2025-08-29 23:55:11.358254+00
1024790664,betrivers,h2h,,,2025-08-29 23:55:11.361914+00
1024387424,betrivers,h2h,,,2025-08-29 23:55:11.365384+00
