event_id,market,selection,price,line,ts
1023860366,h2h,home,1.98,,2025-08-29 23:58:23+00
1022706890,h2h,home,1.7,,2025-08-29 23:58:23+00
1024814618,h2h,home,1.81,,2025-08-29 23:58:15+00
1024036675,h2h,home,2.35,,2025-08-29 23:58:15+00
1023418354,h2h,home,1.24,,2025-08-29 23:58:15+00
1024803221,h2h,home,1.08,,2025-08-29 23:58:06+00
1024790664,h2h,home,2.32,,2025-08-29 23:58:04+00
1022037245,h2h,home,2.33,,2025-08-29 23:58:04+00
1024794857,h2h,home,4.3,,2025-08-29 23:58:03+00
1022037250,h2h,home,3.35,,2025-08-29 23:57:58+00
1024110487,h2h,home,201,,2025-08-29 23:57:52+00
1022037256,h2h,home,1.73,,2025-08-29 23:57:49+00
1024805317,h2h,home,1.64,,2025-08-29 23:57:49+00
1022037244,h2h,home,1.55,,2025-08-29 23:57:41+00
1022706904,h2h,home,2.06,,2025-08-29 23:57:41+00
1023364183,h2h,home,2.17,,2025-08-29 23:57:41+00
1024794512,h2h,home,1.15,,2025-08-29 23:57:40+00
1024387796,h2h,home,1.75,,2025-08-29 23:57:40+00
1024106982,h2h,home,1.72,,2025-08-29 23:57:40+00
1024777705,h2h,home,4.9,,2025-08-29 23:57:40+00
1024796224,h2h,home,1.02,,2025-08-29 23:57:33+00
1024794008,h2h,home,1.2,,2025-08-29 23:57:33+00
1022307564,h2h,home,1.07,,2025-08-29 23:57:33+00
1024803188,h2h,home,1.6,,2025-08-29 23:57:33+00
1023523372,h2h,home,1.42,,2025-08-29 23:57:33+00
1024807560,h2h,home,5.8,,2025-08-29 23:57:33+00
1023523372,h2h,home,1.42,,2025-08-29 23:57:28+00
1024794008,h2h,home,1.2,,2025-08-29 23:57:28+00
1024110487,h2h,home,161,,2025-08-29 23:57:28+00
1024106982,h2h,home,1.72,,2025-08-29 23:57:28+00
1022635843,h2h,home,8,,2025-08-29 23:57:25+00
1024807560,h2h,home,7.5,,2025-08-29 23:57:17+00
1022636365,h2h,home,2.65,,2025-08-29 23:57:17+00
1022635843,h2h,home,8,,2025-08-29 23:57:17+00
1024796224,h2h,home,1.03,,2025-08-29 23:57:17+00
1022037238,h2h,home,8,,2025-08-29 23:57:17+00
1023418354,h2h,home,1.24,,2025-08-29 23:57:17+00
1022307564,h2h,home,1.05,,2025-08-29 23:57:17+00
1022706890,h2h,home,1.7,,2025-08-29 23:57:17+00
1022706890,h2h,home,1.7,,2025-08-29 23:57:16+00
1022037250,h2h,home,3,,2025-08-29 23:57:16+00
1022037238,h2h,home,8,,2025-08-29 23:57:16+00
1024777705,h2h,home,4.5,,2025-08-29 23:57:16+00
1024387796,h2h,home,1.65,,2025-08-29 23:57:16+00
1024806304,h2h,home,1.32,,2025-08-29 23:57:08+00
1024106982,h2h,home,1.72,,2025-08-29 23:57:08+00
1022037256,h2h,home,1.68,,2025-08-29 23:57:08+00
1024714782,h2h,home,1.18,,2025-08-29 23:57:06+00
1023364183,h2h,home,2,,2025-08-29 23:57:06+00
1022636365,h2h,home,2.65,,2025-08-29 23:57:06+00
1024805317,h2h,home,1.77,,2025-08-29 23:57:06+00
1024803221,h2h,home,1.13,,2025-08-29 23:57:06+00
1024794857,h2h,home,4.25,,2025-08-29 23:57:06+00
1024714782,h2h,home,1.18,,2025-08-29 23:57:06+00
1024807560,h2h,home,7.5,,2025-08-29 23:57:06+00
1024387439,h2h,home,1.01,,2025-08-29 23:57:06+00
1024036675,h2h,home,2.35,,2025-08-29 23:56:59+00
1024110487,h2h,home,121,,2025-08-29 23:56:59+00
1024803188,h2h,home,1.45,,2025-08-29 23:56:59+00
1024794857,h2h,home,4.25,,2025-08-29 23:56:59+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:59+00
1024802819,h2h,home,2.55,,2025-08-29 23:56:54+00
1024387439,h2h,home,1.01,,2025-08-29 23:56:54+00
1024387424,h2h,home,1.04,,2025-08-29 23:56:54+00
1022037238,h2h,home,8.5,,2025-08-29 23:56:54+00
1024802819,h2h,home,2.55,,2025-08-29 23:56:54+00
1024387796,h2h,home,1.65,,2025-08-29 23:56:54+00
1024806304,h2h,home,1.32,,2025-08-29 23:56:54+00
1024794512,h2h,home,1.15,,2025-08-29 23:56:54+00
1024794857,h2h,home,4.25,,2025-08-29 23:56:54+00
1024794512,h2h,home,1.15,,2025-08-29 23:56:54+00
1022037244,h2h,home,1.57,,2025-08-29 23:56:54+00
1024802819,h2h,home,2.55,,2025-08-29 23:56:54+00
1023523372,h2h,home,1.42,,2025-08-29 23:56:54+00
1024794857,h2h,home,4.25,,2025-08-29 23:56:51+00
1022037257,h2h,home,2.85,,2025-08-29 23:56:51+00
1022037245,h2h,home,2.5,,2025-08-29 23:56:51+00
1024814618,h2h,home,2.14,,2025-08-29 23:56:51+00
